date,close,volume,amount
2017-10-19,63.0000,27871861,1744925529.2300
2017-10-20,62.5100,15181979,944325935.6400
2017-10-23,62.6000,13649799,852603486.1100
2017-10-24,63.5900,24862604,1565469643.4300
2017-10-25,63.0200,15740970,992966250.4500
2017-10-26,65.0600,41403157,2719287566.9800
2017-10-27,67.9900,42370988,2810914635.7800
2017-10-30,67.0000,33666677,2253930547.7300
2017-10-31,66.6200,20553558,1359946393.5300
2017-11-01,67.0200,21530441,1451488588.6100
2017-11-02,67.6200,26806185,1806405545.1300
2017-11-03,68.3300,24052556,1646990653.0800
2017-11-06,70.1500,24885613,1729483360.0000
2017-11-07,71.0000,30055123,2142109700.2500
2017-11-08,70.4700,24631356,1753224798.2100
2017-11-09,71.1500,24410575,1708667357.7700
2017-11-10,74.6000,31606294,2308173163.2500
2017-11-13,74.4400,25587296,1900429833.6700
2017-11-14,72.1900,29481615,2149759055.1300
2017-11-15,74.8000,33050579,2431549950.1700
2017-11-16,76.2000,34445747,2623626479.0900
2017-11-17,74.8600,47033596,3470762410.2800
2017-11-20,72.9300,32310208,2340210119.0800
2017-11-21,73.9500,30819765,2260040646.4300
2017-11-22,71.9000,39523966,2893486158.9900
2017-11-23,67.5700,48586164,3355596069.4700
2017-11-24,68.4600,46733707,3112090306.7500
2017-11-27,67.5900,28097804,1894106970.5500
2017-11-28,68.6800,24691262,1695244302.7900
2017-11-29,66.2200,25854241,1729488491.0000
2017-11-30,65.6000,21744143,1434527244.0100
2017-12-01,65.3000,21172961,1391760655.2500
2017-12-04,67.9500,40686245,2731108233.4700
2017-12-05,68.3200,34202592,2347062277.6600
2017-12-06,68.3200,23902258,1632767000.8200
2017-12-07,65.9600,23199000,1552376752.8700
2017-12-08,67.9000,25699212,1724479607.6800
2017-12-11,71.9000,47997786,3394742894.6200
2017-12-12,71.8600,27824509,2006321820.5100
2017-12-13,74.1500,29951504,2187299101.1300
2017-12-14,74.6900,20967313,1557985222.6900
2017-12-15,72.9500,23098142,1707969810.7500
2017-12-18,77.0800,50553294,3859030907.9900
2017-12-19,78.4200,37955663,2975094453.5200
2017-12-20,81.6000,34102959,2747943741.0700
2017-12-21,82.1500,37939547,3094053165.3000
2017-12-22,80.5800,35180174,2841150644.7000
2017-12-25,80.5600,35763142,2855501619.6700
